doc_id,assignee,year,legal_status,hybrid,wear_hits,title,wear_snippet
WO2018051763A1,YOKOHAMA RUBBER CO LTD,2016,DEAD,1,23,PNEUMATIC TIRE,"Provided is a pneumatic tire in which it is possible to effectively suppress uneven wear in the shoulder region and center region of a tread part, while reducing rolling resistance."
CN120156143A,"SHANDONG FENGYUAN TIRE MFG CO LTD (ZAOZHUANG CITY, CN)",2025,ALIVE,1,10,"Reinforcing layer cord fabric, three-proofing tire with angle reinforcement and preparation method",
US7712498B2,SUMITOMO RUBBER IND LTD,2005,DEAD,1,9,Run flat tire,"These tires, designed to support load during punctures, suffer from reduced handling stability and abrasion resistance due to the distortion of the tread profile."
WO2004041554A1,FUJI SEIKO CO LTD,2002,DEAD,1,8,RADIAL TIRE WITH CIRCUMFERENTIAL SPIRALLY WOUND BELT LAYER,
JP2001163005A,BRIDGESTONE CORP,1999,DEAD,1,8,RADIAL TIRE,"The spiral-wound structure of the fiber cord enhances circumferential rigidity and vibration suppression, leading to improved tire contact properties and wear resistance."
WO2003086783A1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,2002,DEAD,1,7,PNEUMATIC TIRE CROWN REINFORCEMENT,"The invention aims to resolve these issues by introducing a novel crown reinforcement system that prevents the GCA from being too short at high speeds, while maintaining a rectangular or slightly oval ground contact area shape for better low-speed dry handling and wear performance."
WO2018230265A1,BRIDGESTONE CORP,2017,DEAD,1,6,TIRE,"The present invention addresses the problem of suppressing the occurrence, in a tire having a spiral cord layer formed by winding a reinforcement cord in a spiral shape, of uneven wear due to the spiral cord layer."
EP0749854A1,BRIDGESTONE CORP,1995,DEAD,1,6,Radial tire,"Conventional tires often suffer from wear resistance degradation, handling instability, and road noise that is not effectively minimized by softening the tread rubber or increasing belt tension."
US9156316B2,MICHELIN & CIE,2008,DEAD,1,6,Vehicle tire with interrupted carcass and comprising a layer of circumferential reinforcement elements,"It enhances wear resistance and grip by optimizing the distribution of circumferential reinforcement elements with variable pitch, which improves stability and durability."
WO2007131581A1,CONTINENTAL AG,2006,DEAD,1,6,PNEUMATIC VEHICLE TYRE WITH BELT BANDAGE,"ADVANTAGES
The invention provides a tire with improved aquaplaning properties in lower-speed ranges, a flat contour in the middle-speed range for low abrasion, and a high-speed performance with a circular contour for durability."
CN114103555A,SUMITOMO RUBBER IND LTD,2020,ALIVE,1,5,Tire,
US20040108037A1,BOOZER MATTHEW,2002,DEAD,1,5,Pneumatic tire crown reinforcement,"The use of high modulus at high stress cords in the second reinforcement plies allows the tire to flatten the transverse curvature at low and moderate speeds, improving wear performance."
WO2006035940A1,BRIDGESTONE CORP,2004,DEAD,1,4,PNEUMATIC RADIAL TIRE,
JPH06270606A,SUMITOMO RUBBER IND LTD,1993,DEAD,1,4,PNEUMATIC TYRE,"The dampers are positioned to cover antinodes, enhancing noise reduction without compromising tire stability or wear resistance."
US8925606B2,MICHELIN & CIE,2008,DEAD,1,4,Vehicle tire comprising a tread composed of a plurality of compounds and a layer of circumferential reinforcement elements of variable pitch,"PROBLEM BEING SOLVED
Current motorcycle tires use conventional carcass plies and bead wires to reinforce the tire structure, leading to inefficiencies in wear resistance and grip properties."
DE102016223304B4,CONTINENTAL REIFEN DEUTSCHLAND GMBH,2016,ALIVE,1,4,2Vehicle pneumatic tyres,"The belt bandage is applied in a single layer, with the side sections arranged to provide a more uniform abrasion and improved rolling resistance compared to the center section."
EP2048005B1,CONTINENTAL REIFEN DEUTSCHLAND,2007,ALIVE,1,4,Pneumatic tire for vehicles,
US6460585B1,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,1,3,Tire with tread compound contacting belt cords,This approach results in poor performance in terms of handling and wear resistance while increasing fuel consumption.
EP0990539A2,MICHELIN RESEARCH & TECHNOLOGY CO LTD,1998,DEAD,1,3,Tire with tread compound applied directly on the radially outermost reinforcement layer of belt reinforcement textile cords,"The decoupling compound interfaces between the tread and carcass, ensuring that the tread is flexible and the carcass is rigid, while maintaining the desired handling characteristics and wear resistance."
EP1127718A2,THE GOODYEAR TIRE & RUBBER CO,2000,DEAD,1,3,Runflat tire with dual-modulus underlay,
WO2016190152A1,BRIDGESTONE CORP,2015,DEAD,1,3,"REINFORCEMENT MEMBER FOR TIRES, AND TIRE USING SAME",
JP2020200032A,THE GOODYEAR TIRE & RUBBER CO,2019,ALIVE,1,3,RADIAL TIRE,"This expansion leads to deviated wear, where the shoulder portion of the tread wears faster than the central portion, shortening the tire's lifespan."
CN109070639A,YOKOHAMA RUBBER CO LTD,2016,ALIVE,1,3,Pneumatic tire,"The integrated structure allows for a gentle angle change between the tread region and the side region, improving durability and wear resistance."
US3763913A,FIRESTONE TIRE & RUBBER COMPANY,1972,DEAD,1,3,TIRE HAVING KNIT BELT,"The tire's circumferential and lateral stability is improved, leading to better wear resistance and handling characteristics."
CA2290472A1,THE GOODYEAR TIRE & RUBBER CO,1997,DEAD,1,3,TIRE WITH IMPROVED REMOVABLE TIRE TREAD BELT,"Also, the improved track belt will maintain a flatter tread profile which in turn will improve tread life and durability."
