publication_number,title,abstract,assignee,publication_date,cpc
SAMPLE-0001,Hybrid cap ply cord for high speed passenger tires,"A pneumatic passenger car radial tire comprising a zero-degree overlay layer of hybrid cord made of para-aramid and nylon 6.6 filaments co-twisted together. The hybrid cord provides high modulus to restrain centrifugal growth at high speed while retaining sufficient elongation for ride comfort. The overlay is spirally wound as a jointless band over the steel belt package, improving high-speed durability and uniformity (RFV).",Kordsa,2017-03-12,B60C9/28
SAMPLE-0002,Aramid-nylon overlay with improved adhesion,"A passenger tire cap ply uses an aramid/nylon hybrid cord treated with a two-bath dip including an epoxy pre-dip followed by an RFL adhesive. The epoxy pre-dip addresses the poor adhesion of para-aramid to rubber, reducing delamination and edge separation. Ends per dm and winding tension are specified to balance handling against ride comfort.",Hyosung,2018-07-22,B60C2009/0014
SAMPLE-0003,Jointless band for ultra high performance tire,"A UHP passenger car radial tire with a V-rated and W-rated speed capability includes a spirally wound jointless cap ply of hybrid yarn. The construction controls diameter growth and reduces flat-spotting. A trade-off between rolling resistance and high-speed durability is balanced by adjusting cord density and dry heat shrinkage.",Bridgestone,2019-11-05,B60C9/22
SAMPLE-0004,Dual layer zero degree overlay,"The passenger tire comprises a full width overlay and an additional edge band, both of hybrid aramid-nylon cord. The dual layer overlay improves cornering and steering response, however cost increases due to aramid content. Compression fatigue of the aramid is mitigated by twist multiplier optimization.",Continental,2020-02-18,B60C2009/2074
SAMPLE-0005,Lightweight cap ply construction,"A lightweight zero-degree reinforcing band for a passenger car radial tire reduces tire weight and rolling resistance, improving fuel economy. The hybrid cord uses a lower denier aramid combined with nylon 6.6. Winding pitch and overlay tension are controlled during spiral winding to avoid cord breakage.",Goodyear,2021-06-30,B60C9/20
SAMPLE-0006,Heavy truck belt edge cushion,"A truck and bus radial tire (TBR) for heavy duty steer axle service with a regroovable tread and a belt edge cushion. The breaker plies are arranged to resist load index requirements. Not concerning passenger overlays.",Michelin,2018-04-01,B60C9/18
SAMPLE-0007,Off-the-road tire belt package,"An OTR earthmover mining tire with a reinforced belt package for construction equipment. The cords are steel and the design targets cut resistance for off the road service.",Titan,2016-09-14,B60C9/20
SAMPLE-0008,Hybrid overlay shrinkage control,"A passenger tire zero-degree overlay uses a hybrid cord whose thermal shrinkage and shrinkage force are tuned so that the dimensional stability mismatch between aramid and nylon does not cause non-uniformity. Heat setting and normalizing steps in the dip process are described as a manufacturing process window.",Kolon,2022-01-20,B60C2009/2009
SAMPLE-0009,High speed durability overlay for sport tire,"A sport summer tire (Y-rated) for passenger vehicles includes a zero degree cap ply of co-twisted aramid and nylon. The high modulus restrains centrifugal expansion, improving high-speed durability while the nylon component preserves intermediate elongation. The balance between stiffness and ride is a key trade-off.",Hankook,2023-05-11,B60C9/28
SAMPLE-0010,Spirally wound band with optimized ends per dm,"A passenger car radial tire band ply is spirally wound with a hybrid cord at an optimized ends per dm and winding tension. Load at specified elongation (LASE) and dry heat shrinkage ranges are given as design guidelines. The construction reduces radial force variation and improves uniformity.",Sumitomo,2024-08-02,B60C2009/2074
